Word,Count
poulet,9
cocoanut,9
sauterne,9
duckling,8
cordials,8
frier,8
bouillons,8
squab,8
knishes,8
shandy,8
chapattis,8
borshch,8
sweetbreads,8
knackwurst,8
butterfish,8
blinis,8
mahimahi,8
granolas,8
bigos,8
coffeecakes,8
plaice,8
cherrystone,8
armagnac,8
blancmange,8
roulades,8
sparerib,8
sherbets,8
cocoas,8
puds,8
ales,8
mayonnaises,7
currys,7
windfall,7
bovril,7
sabayon,7
toffees,7
berrys,7
hooch,7
daiquiris,7
frankfurter,7
sautes,7
chipolatas,7
macoun,7
oolong,7
tortes,7
pestos,7
vol-au-vents,7
cud,7
colorings,7
spritzers,7
sops,7
lekvar,7
burgoo,7
hotcake,6
aperitifs,6
pilchards,6
murphy,6
fatback,6
cassareep,6
pilaff,6
oatcake,6
teacake,6
baps,6
syllabub,6
porc,6
porcupines,6
babkas,6
partridges,6
yoghurts,6
knish,6
jook,6
malts,6
entrecote,6
banger,6
rollmops,6
porks,6
sirup,6
spaghettis,6
glogg,6
stover,6
quahogs,6
roughage,6
fondu,6
pois,6
zwieback,6
demiglace,6
guanabana,5
bonbons,5
offal,5
plonk,5
provisions,5
crappies,5
chitterlings,5
prima,5
lunchs,5
kipper,5
gruel,5
sweetbread,5
finnan,5
lutefisk,5
timbale,5
toad-in-the-hole,5
anchovys,5
rations,5
clambake,5
gimlet,5
marmalades,5
frangipane,5
chipolata,5
kvass,5
bordelaise,5
birdseed,5
humous,5
applesauces,5
kishke,5
griddlecakes,5
grog,5
ciders,5
montrachet,5
souvlakia,5
compotes,5
amontillado,5
muscatel,5
crawdads,5
langoustines,4
flageolet,4
maraschinos,4
bacons,4
gravys,4
seckel,4
quails,4
kedgeree,4
moussakas,4
gnocchis,4
dragees,4
sup,4
cortlands,4
pottage,4
guacamoles,4
delicatessens,4
piccalilli,4
espagnole,4
quahog,4
potpies,4
fondants,4
crapes,4
mixs,4
tequilas,4
schnecken,4
blintze,4
casaba,4
varietals,4
timbales,4
tournedos,4
terrines,4
tonics,4
beefsteaks,4
buttercrunch,4
roes,4
littlenecks,4
raitas,4
hoagy,4
applejack,4
fastnachts,4
scrumpy,4
soave,4
sustenance,4
cracklings,4
rhubarbs,3
mayos,3
coquilles,3
fizzes,3
panfish,3
organs,3
brittles,3
jambon,3
juliennes,3
kingfish,3
sauternes,3
simnel,3
crape,3
sugarplums,3
goober,3
forage,3
eggnogs,3
panocha,3
veau,3
gingerbreads,3
babas,3
rickey,3
chartreuse,3
lambchops,3
trouts,3
margarines,3
mulligan,3
repast,3
spatchcocks,3
candys,3
lasagnes,3
ragouts,3
adobos,3
nesselrode,3
stayman,3
varietal,3
triple-decker,3
saccharin,3
windfalls,3
poi,3
sugarloaf,3
chapatti,3
mullet,3
hardtack,3
porridges,3
fastnacht,3
couverture,3
cock-a-leekie,3
swill,3
zitis,3
seltzers,3
chitlins,3
sweetmeats,3
matzohs,3
vouvray,3
parmesans,3
bialy,3
takeaways,3
squids,3
firewater,2
glutens,2
cruller,2
crullers,2
barmbrack,2
ades,2
hoummos,2
savarin,2
macouns,2
toddys,2
cannellonis,2
lacing,2
sunchoke,2
brandies,2
cabernets,2
sherberts,2
manicottis,2
butties,2
baklavas,2
garnishs,2
murphys,2
clambakes,2
shellfishs,2
swallows,2
baguet,2
sprats,2
coquille,2
minces,2
colbert,2
flavorers,2
flummery,2
sazerac,2
aniseeds,2
lingcod,2
lambchop,2
biryanis,2
salamis,2
calamaris,2
scollops,2
muskellunge,2
blancs,2
flageolets,2
pablum,2
herrings,2
kibble,2
paellas,2
butterbean,2
eels,2
bannocks,2
goudas,2
elvers,2
croakers,2
dainties,2
borsh,2
frappes,2
tapenades,2
bread-stick,2
posset,2
gimlets,2
croaker,2
langoustine,2
souchong,2
juleps,2
polentas,2
pompano,2
buttermilks,2
bluefin,2
libations,2
quaff,2
cappelletti,2
sinker,2
borsht,2
gastronomy,2
scouse,2
tofus,2
octopi,2
carp,2
goulashes,2
pemmican,2
romaines,2
retsina,2
hoecakes,2
champagnes,2
perishables,2
seckels,2
eggss,2
limeades,2
shandys,2
generics,2
sauerkrauts,2
edibles,2
stodge,2
stouts,2
grist,2
tucks,2
honeydews,2
gins,2
schnaps,2
highballs,2
sirups,2
tripes,2
rarebits,2
crooknecks,1
old_fashioned,1
crawdad,1
mulligans,1
schrod,1
hindquarter,1
takeouts,1
pandowdy,1
winkle,1
capons,1
hommos,1
goodys,1
pfannkuchen,1
confiture,1
winkles,1
staymans,1
afters,1
pullets,1
pilchard,1
oktoberfests,1
spams,1
msgs,1
ramequins,1
ugli,1
finocchio,1
winesaps,1
pippins,1
demi-glaze,1
akvavit,1
mostacciolis,1
jellyrolls,1
cisco,1
bismark,1
tokay,1
gyrosss,1
multivitamins,1
tiffins,1
curacoa,1
cornmeals,1
carbonaras,1
limburger,1
shandies,1
casseroless,1
liebfraumilch,1
ail,1
leftoverss,1
noodless,1
streusels,1
gorgonzolas,1
goobers,1
mozzarellas,1
phyllos,1
jambalayas,1
uglies,1
beefburgers,1
scuppernong,1
zep,1
confits,1
deliciousssssss,1
deliciousssss,1
yoghourt,1
lozenges,1
servingss,1
lobscouse,1
veggiess,1
pastramis,1
escallops,1
tahinis,1
molasseses,1
gruyeres,1
pepsis,1
scampis,1
marchpane,1
jawbreakers,1
tabboulehs,1
mueslis,1
salmis,1
atole,1
taffies,1
flatfish,1
delicioussss,1
viand,1
comfit,1
hashes,1
caviars,1
potables,1
pirogi,1
junkets,1
biriani,1
titbits,1
scuppernongs,1
toddies,1
sunfish,1
tiramisus,1
boscs,1
aguacate,1
stinger,1
zwiebacks,1
marinaras,1
seasoningsss,1
mouton,1
clingstone,1
profiterole,1
johnnycake,1
beefburger,1
bleus,1
mackerels,1
gigot,1
edda,1
wienerwurst,1
beechnut,1
bouchee,1
grenadines,1
dragee,1
sprat,1
beigel,1
chine,1
volaille,1
pilaw,1
tisane,1
sinkers,1
tomalley,1
split-peas,1
wassails,1
malteds,1
chocs,1
premixes,1
sushis,1
pastille,1
chiness,1
bries,1
tipples,1
arrack,1
dubonnet,1
bocks,1
brislings,1
mulligatawnies,1
porgies,1
kahluas,1
bubblies,1
tourtieres,1
pignolias,1
penuches,1
postum,1
jawbreaker,1
potable,1
hummuss,1
demitasses,1
ramequin,1
rijstafel,1
pullet,1
kibbles,1
forages,1
toffy,1
pirogis,1
cupper,1
cappuccinos,1
molassess,1
stovers,1
flavourers,1
vermouths,1
grubs,1
chapaties,1
cookiess,1
horsemeat,1
lichi,1
chaw,1
pieses,1
aspics,1
scollop,1
hallah,1
pilsners,1
hakes,1
slings,1
hummuses,1
